idade,renda,etnia,genero,casa_propria,outras_rendas,estado_civil,escolaridade,inadimplente
56,5092,Branco,Masculino,1,1,Divorciado,Superior,1
69,8225,Pardo,Feminino,1,1,Viúvo,Fundamental,1
46,6247,Amarelo,Feminino,1,0,Divorciado,Superior,1
32,5368,Amarelo,Masculino,0,0,Casado,Fundamental,0
60,3466,Negro,Masculino,1,0,Solteiro,Médio,1
25,4187,Pardo,Feminino,0,1,Viúvo,Superior,0
38,9444,Branco,Feminino,1,0,Casado,Médio,1
56,5747,Indígena,Masculino,1,0,Divorciado,Pós-graduação,0
36,5230,Amarelo,Masculino,0,0,Viúvo,Superior,0
40,2437,Branco,Feminino,1,0,Viúvo,Fundamental,0
28,7911,Amarelo,Masculino,1,1,Viúvo,Superior,1
28,5377,Amarelo,Masculino,0,0,Casado,Fundamental,1
41,4796,Indígena,Feminino,1,0,Solteiro,Médio,0
53,6037,Indígena,Masculino,1,1,Solteiro,Fundamental,1
57,6819,Indígena,Masculino,1,0,Solteiro,Fundamental,1
41,6791,Negro,Masculino,1,1,Solteiro,Pós-graduação,1
20,4764,Indígena,Masculino,1,1,Divorciado,Superior,0
39,2361,Indígena,Feminino,1,1,Solteiro,Pós-graduação,1
19,8584,Indígena,Feminino,0,0,Casado,Fundamental,0
41,3897,Indígena,Masculino,1,0,Casado,Pós-graduação,1
61,4567,Pardo,Masculino,1,0,Solteiro,Superior,1
47,3552,Negro,Masculino,0,1,Casado,Pós-graduação,0
55,6177,Amarelo,Feminino,1,0,Viúvo,Médio,0
19,8142,Negro,Masculino,0,1,Viúvo,Fundamental,0
38,1437,Negro,Masculino,0,1,Viúvo,Fundamental,0
50,7325,Negro,Masculino,1,0,Viúvo,Médio,0
29,9607,Indígena,Masculino,1,0,Viúvo,Superior,1
39,2716,Negro,Masculino,0,1,Viúvo,Fundamental,0
61,4730,Pardo,Feminino,0,1,Casado,Pós-graduação,1
42,6910,Amarelo,Masculino,0,0,Viúvo,Médio,1
66,9492,Negro,Feminino,1,1,Divorciado,Superior,0
44,8798,Amarelo,Feminino,1,0,Viúvo,Pós-graduação,1
59,6407,Branco,Masculino,1,1,Solteiro,Médio,0
45,5422,Branco,Feminino,0,1,Divorciado,Fundamental,0
33,2703,Negro,Feminino,1,1,Casado,Superior,1
32,3181,Pardo,Feminino,0,1,Divorciado,Médio,1
64,2399,Branco,Masculino,1,0,Casado,Fundamental,1
68,6845,Branco,Masculino,1,0,Casado,Médio,0
61,5476,Pardo,Masculino,0,0,Casado,Pós-graduação,0
69,5849,Indígena,Masculino,0,1,Viúvo,Pós-graduação,0
20,4326,Negro,Feminino,1,0,Solteiro,Fundamental,0
54,4625,Branco,Feminino,1,1,Solteiro,Pós-graduação,0
68,5202,Pardo,Feminino,1,1,Solteiro,Pós-graduação,1
24,2703,Branco,Feminino,1,1,Casado,Superior,1
38,2030,Amarelo,Feminino,0,1,Divorciado,Pós-graduação,0
26,5636,Branco,Masculino,0,0,Viúvo,Superior,1
56,4907,Amarelo,Masculino,0,0,Casado,Pós-graduação,0
35,6269,Indígena,Masculino,0,1,Viúvo,Médio,0
21,9068,Pardo,Feminino,1,0,Solteiro,Médio,1
42,8946,Indígena,Feminino,1,0,Divorciado,Superior,1
31,5190,Amarelo,Feminino,1,1,Solteiro,Pós-graduação,1
67,6174,Branco,Feminino,1,0,Solteiro,Pós-graduação,0
26,7983,Indígena,Feminino,0,1,Solteiro,Pós-graduação,0
43,7553,Amarelo,Feminino,1,0,Solteiro,Superior,0
19,7602,Indígena,Masculino,0,0,Divorciado,Fundamental,1
37,1685,Amarelo,Masculino,0,1,Solteiro,Pós-graduação,1
45,7555,Branco,Masculino,1,1,Viúvo,Médio,0
64,7056,Indígena,Masculino,1,1,Solteiro,Médio,1
24,6187,Pardo,Masculino,1,1,Divorciado,Superior,0
61,3449,Indígena,Feminino,0,1,Divorciado,Fundamental,1
25,3284,Amarelo,Masculino,1,1,Casado,Médio,1
64,5811,Negro,Feminino,0,0,Divorciado,Médio,1
52,7474,Branco,Masculino,1,1,Casado,Pós-graduação,0
31,7472,Indígena,Masculino,0,1,Solteiro,Médio,0
34,7655,Amarelo,Feminino,0,0,Solteiro,Pós-graduação,1
53,7440,Pardo,Feminino,0,0,Viúvo,Médio,0
67,7465,Branco,Masculino,0,0,Casado,Superior,1
57,7588,Branco,Masculino,0,1,Solteiro,Médio,0
21,2688,Pardo,Masculino,0,1,Divorciado,Fundamental,1
19,2403,Pardo,Feminino,0,1,Divorciado,Médio,0
23,8445,Amarelo,Masculino,0,0,Viúvo,Superior,0
59,2020,Indígena,Masculino,0,0,Viúvo,Médio,1
21,8771,Branco,Feminino,1,0,Divorciado,Pós-graduação,0
46,4796,Negro,Masculino,1,0,Divorciado,Superior,0
35,6202,Pardo,Masculino,1,0,Casado,Pós-graduação,0
43,4809,Pardo,Feminino,0,0,Casado,Superior,1
61,4537,Branco,Feminino,1,1,Viúvo,Fundamental,0
51,2040,Pardo,Feminino,1,0,Divorciado,Pós-graduação,1
27,7730,Pardo,Feminino,0,0,Solteiro,Superior,1
53,8742,Indígena,Feminino,0,1,Casado,Pós-graduação,1
31,7502,Amarelo,Feminino,1,0,Solteiro,Superior,0
48,8498,Amarelo,Feminino,0,0,Viúvo,Médio,0
65,2777,Pardo,Masculino,0,1,Divorciado,Superior,1
32,2868,Negro,Feminino,1,1,Solteiro,Pós-graduação,0
