idade,etnia,genero,casa_propria,outras_rendas,estado_civil,escolaridade,inadimplente
56,Amarelo,Feminino,0,0,Divorciado,Fundamental,0
69,Negro,Feminino,0,1,Viúvo,Médio,0
46,Pardo,Masculino,1,0,Viúvo,Fundamental,1
32,Pardo,Feminino,1,1,Viúvo,Pós-graduação,1
60,Negro,Feminino,1,0,Solteiro,Fundamental,1
25,Branco,Masculino,1,0,Divorciado,Superior,0
38,Pardo,Masculino,0,1,Viúvo,Médio,1
56,Amarelo,Masculino,1,0,Viúvo,Médio,1
36,Negro,Masculino,0,0,Divorciado,Pós-graduação,1
40,Indígena,Masculino,1,1,Solteiro,Superior,1
28,Branco,Feminino,0,0,Viúvo,Pós-graduação,0
28,Negro,Feminino,1,0,Viúvo,Pós-graduação,0
41,Amarelo,Feminino,0,1,Solteiro,Médio,1
53,Pardo,Masculino,1,0,Solteiro,Pós-graduação,0
57,Branco,Masculino,1,1,Divorciado,Superior,1
41,Branco,Masculino,0,0,Viúvo,Médio,0
20,Negro,Masculino,0,1,Solteiro,Médio,1
39,Negro,Feminino,1,0,Solteiro,Pós-graduação,1
19,Amarelo,Masculino,1,0,Casado,Médio,1
41,Indígena,Feminino,0,0,Viúvo,Médio,0
61,Negro,Feminino,0,0,Divorciado,Médio,0
47,Negro,Feminino,1,1,Divorciado,Fundamental,0
55,Negro,Masculino,0,1,Casado,Superior,1
19,Amarelo,Feminino,1,1,Casado,Fundamental,1
38,Pardo,Feminino,1,1,Viúvo,Fundamental,0
50,Indígena,Masculino,0,1,Viúvo,Pós-graduação,0
29,Amarelo,Masculino,0,0,Divorciado,Superior,1
39,Negro,Feminino,1,0,Divorciado,Fundamental,0
61,Pardo,Feminino,1,1,Solteiro,Médio,1
42,Negro,Feminino,0,0,Casado,Pós-graduação,0
66,Amarelo,Feminino,0,0,Casado,Pós-graduação,0
44,Branco,Masculino,1,1,Divorciado,Superior,1
59,Negro,Masculino,0,1,Viúvo,Superior,0
45,Pardo,Masculino,1,1,Solteiro,Médio,0
33,Indígena,Masculino,0,1,Casado,Fundamental,0
32,Branco,Masculino,0,1,Viúvo,Superior,1
64,Negro,Masculino,1,1,Divorciado,Superior,0
68,Negro,Masculino,0,1,Divorciado,Pós-graduação,0
61,Pardo,Feminino,1,0,Viúvo,Pós-graduação,1
69,Branco,Feminino,1,1,Divorciado,Pós-graduação,1
20,Branco,Masculino,1,0,Casado,Superior,1
54,Branco,Feminino,1,0,Casado,Fundamental,1
68,Negro,Feminino,1,0,Casado,Pós-graduação,0
24,Branco,Masculino,1,1,Casado,Pós-graduação,1
38,Negro,Feminino,0,1,Viúvo,Superior,1
26,Negro,Masculino,0,0,Solteiro,Fundamental,1
56,Branco,Masculino,1,1,Solteiro,Fundamental,1
35,Amarelo,Masculino,1,1,Casado,Médio,0
21,Indígena,Feminino,1,1,Viúvo,Pós-graduação,1
42,Indígena,Masculino,0,0,Divorciado,Fundamental,0
31,Amarelo,Feminino,0,1,Divorciado,Pós-graduação,1
67,Branco,Feminino,0,1,Divorciado,Fundamental,1
26,Negro,Feminino,1,1,Casado,Médio,0
43,Pardo,Feminino,1,1,Solteiro,Superior,1
19,Amarelo,Masculino,0,1,Divorciado,Fundamental,1
37,Indígena,Feminino,1,1,Solteiro,Superior,1
45,Indígena,Feminino,0,1,Viúvo,Pós-graduação,1
64,Negro,Feminino,0,1,Solteiro,Superior,1
24,Indígena,Masculino,0,1,Casado,Pós-graduação,0
61,Indígena,Feminino,1,0,Viúvo,Fundamental,0
25,Negro,Feminino,0,0,Casado,Fundamental,1
64,Branco,Feminino,1,0,Divorciado,Superior,1
52,Indígena,Feminino,1,0,Viúvo,Médio,0
31,Branco,Feminino,1,1,Casado,Fundamental,0
34,Pardo,Masculino,1,1,Casado,Superior,0
53,Branco,Masculino,0,1,Casado,Médio,1
67,Negro,Masculino,0,0,Viúvo,Fundamental,0
57,Negro,Masculino,1,0,Viúvo,Superior,0
21,Negro,Masculino,0,0,Divorciado,Fundamental,1
19,Indígena,Feminino,0,1,Solteiro,Fundamental,0
23,Amarelo,Feminino,0,1,Divorciado,Fundamental,0
59,Indígena,Masculino,0,1,Divorciado,Superior,1
21,Branco,Feminino,0,1,Solteiro,Superior,0
46,Pardo,Masculino,1,1,Casado,Fundamental,1
35,Pardo,Feminino,1,0,Divorciado,Superior,0
43,Pardo,Feminino,0,1,Solteiro,Pós-graduação,0
61,Pardo,Masculino,1,1,Solteiro,Médio,1
51,Amarelo,Feminino,1,1,Viúvo,Pós-graduação,0
27,Pardo,Masculino,1,0,Divorciado,Superior,0
53,Indígena,Feminino,0,0,Solteiro,Superior,0
31,Pardo,Feminino,0,1,Solteiro,Fundamental,0
48,Negro,Masculino,1,1,Casado,Fundamental,1
65,Branco,Masculino,1,0,Casado,Fundamental,0
32,Indígena,Masculino,0,1,Viúvo,Fundamental,1
25,Amarelo,Feminino,1,1,Solteiro,Fundamental,1
31,Indígena,Feminino,1,0,Viúvo,Médio,0
40,Negro,Feminino,0,1,Casado,Médio,0
57,Pardo,Feminino,0,1,Solteiro,Pós-graduação,0
38,Pardo,Masculino,1,0,Viúvo,Fundamental,1
33,Amarelo,Masculino,1,0,Divorciado,Fundamental,0
62,Branco,Masculino,0,1,Viúvo,Fundamental,1
35,Pardo,Feminino,0,0,Solteiro,Fundamental,1
64,Amarelo,Feminino,0,0,Solteiro,Médio,0
41,Pardo,Masculino,0,0,Solteiro,Médio,0
43,Indígena,Masculino,1,0,Divorciado,Fundamental,1
42,Amarelo,Feminino,0,1,Solteiro,Médio,1
62,Amarelo,Masculino,1,1,Viúvo,Fundamental,1
58,Amarelo,Masculino,1,1,Divorciado,Superior,0
46,Pardo,Feminino,1,1,Casado,Pós-graduação,0
32,Amarelo,Masculino,0,1,Solteiro,Pós-graduação,0
62,Indígena,Masculino,1,0,Divorciado,Médio,0
18,Branco,Feminino,1,1,Casado,Fundamental,1
42,Branco,Feminino,0,0,Solteiro,Fundamental,1
24,Negro,Feminino,1,0,Divorciado,Pós-graduação,0
26,Indígena,Feminino,1,1,Solteiro,Fundamental,1
41,Indígena,Masculino,0,1,Divorciado,Superior,1
18,Amarelo,Masculino,1,0,Divorciado,Pós-graduação,1
61,Negro,Masculino,0,0,Solteiro,Superior,1
25,Indígena,Masculino,0,1,Viúvo,Médio,0
41,Indígena,Feminino,1,1,Casado,Médio,1
28,Indígena,Masculino,1,1,Viúvo,Médio,0
68,Pardo,Masculino,1,1,Divorciado,Fundamental,1
34,Indígena,Masculino,0,1,Divorciado,Médio,0
25,Pardo,Masculino,1,0,Divorciado,Superior,1
52,Indígena,Masculino,0,1,Solteiro,Médio,1
52,Branco,Masculino,1,1,Casado,Pós-graduação,1
50,Pardo,Feminino,0,0,Solteiro,Fundamental,1
22,Pardo,Masculino,0,1,Casado,Pós-graduação,1
59,Amarelo,Feminino,0,0,Casado,Médio,1
56,Indígena,Feminino,1,1,Viúvo,Fundamental,1
58,Negro,Feminino,0,0,Casado,Pós-graduação,1
45,Negro,Masculino,0,0,Divorciado,Fundamental,0
24,Negro,Feminino,0,1,Divorciado,Fundamental,0
26,Negro,Feminino,1,0,Casado,Fundamental,0
25,Branco,Masculino,0,0,Casado,Médio,1
29,Negro,Masculino,0,1,Casado,Fundamental,1
51,Amarelo,Masculino,1,0,Divorciado,Superior,1
50,Negro,Feminino,0,1,Viúvo,Superior,1
65,Amarelo,Masculino,0,1,Casado,Superior,0
40,Pardo,Feminino,1,0,Solteiro,Pós-graduação,1
41,Indígena,Feminino,1,1,Divorciado,Superior,0
54,Negro,Feminino,0,1,Casado,Fundamental,0
52,Amarelo,Masculino,0,0,Viúvo,Superior,0
61,Amarelo,Feminino,0,0,Solteiro,Médio,1
57,Indígena,Feminino,1,0,Casado,Pós-graduação,1
39,Pardo,Masculino,1,1,Divorciado,Médio,0
44,Negro,Masculino,1,0,Viúvo,Médio,0
52,Amarelo,Feminino,1,0,Viúvo,Pós-graduação,1
18,Negro,Masculino,1,0,Solteiro,Fundamental,0
52,Branco,Feminino,1,0,Viúvo,Pós-graduação,1
54,Amarelo,Feminino,1,1,Casado,Médio,0
64,Pardo,Masculino,1,1,Solteiro,Médio,1
31,Indígena,Masculino,0,0,Divorciado,Pós-graduação,1
20,Amarelo,Masculino,1,0,Casado,Médio,0
18,Branco,Feminino,1,0,Viúvo,Superior,1
22,Indígena,Feminino,1,1,Divorciado,Pós-graduação,0
43,Pardo,Feminino,0,1,Viúvo,Superior,0
31,Negro,Masculino,1,0,Casado,Superior,1
56,Negro,Masculino,0,0,Solteiro,Médio,0
44,Amarelo,Masculino,0,0,Casado,Pós-graduação,0
26,Indígena,Masculino,0,1,Viúvo,Pós-graduação,0
32,Branco,Masculino,1,1,Solteiro,Médio,1
32,Branco,Feminino,1,0,Divorciado,Médio,0
43,Pardo,Masculino,1,0,Viúvo,Fundamental,1
59,Indígena,Feminino,1,1,Viúvo,Superior,0
30,Indígena,Feminino,0,0,Solteiro,Pós-graduação,1
68,Negro,Feminino,1,1,Casado,Superior,1
49,Pardo,Feminino,0,1,Divorciado,Superior,1
56,Pardo,Masculino,0,1,Divorciado,Médio,1
66,Pardo,Masculino,1,1,Viúvo,Superior,0
69,Indígena,Masculino,0,0,Solteiro,Pós-graduação,0
49,Negro,Masculino,0,0,Casado,Pós-graduação,1
21,Pardo,Feminino,0,1,Viúvo,Pós-graduação,0
47,Negro,Masculino,0,0,Casado,Pós-graduação,1
54,Pardo,Feminino,0,1,Solteiro,Médio,1
40,Indígena,Feminino,0,0,Viúvo,Médio,0
56,Negro,Masculino,1,1,Solteiro,Médio,1
62,Amarelo,Feminino,1,1,Viúvo,Fundamental,0
32,Pardo,Feminino,1,1,Divorciado,Superior,0
60,Indígena,Feminino,0,1,Viúvo,Médio,0
46,Negro,Masculino,1,0,Viúvo,Pós-graduação,1
53,Branco,Masculino,0,1,Casado,Fundamental,0
30,Indígena,Masculino,0,0,Casado,Fundamental,0
49,Indígena,Masculino,0,1,Solteiro,Médio,0
24,Branco,Feminino,1,1,Solteiro,Médio,1
68,Branco,Feminino,1,1,Viúvo,Pós-graduação,0
39,Amarelo,Feminino,1,1,Viúvo,Médio,0
